URL,SIZE,NO. OF OUTLINKS,CONTENT_TYPE
http://www.nbcnews.com/video/treasury-secy-sanctions-venezuelan-vp-for-narcotics-trafficking-877126723672,323960,140,text/html; charset=utf-8
http://www.nbcnews.com/news/world/xiao-jianhua-disappears-hong-kong-reportedly-mainland-china-n715221,86359,84,text/html; charset=utf-8
http://www.nbcnews.com/news/world/pope-francis-targeted-fake-news-amid-tensions-conservative-catholics-n719326,100073,87,text/html; charset=utf-8
http://www.nbcnews.com/storyline/isis-uncovered,249052,168,text/html; charset=utf-8
http://www.nbcnews.com/news/world/clerical-sexual-abuse-pope-asks-forgiveness-monstrosity-book-n720196,106894,92,text/html; charset=utf-8
http://www.nbcnews.com/news/europe/pope-warns-rising-populism-could-produce-new-hilter-n710681,105054,91,text/html; charset=utf-8
http://www.nbcnews.com/politics/politics-news/rex-tillerson-meets-mexico-s-foreign-minister-will-visit-mexico-n718671,115423,100,text/html; charset=utf-8
http://www.nbcnews.com/news/world/russia-china-isis-rex-tillerson-faces-daunting-global-challenges-n720186,148592,123,text/html; charset=utf-8
http://www.nbcnews.com/video/vicente-fox-to-donald-trump-you-lost-mexico-won-863387203633,322861,140,text/html; charset=utf-8
http://www.nbcnews.com/news/world/more-70-killed-suicide-attack-muslim-shrine-pakistan-n721876,87734,82,text/html; charset=utf-8
http://www.nbcnews.com/news/north-korea/kim-jong-un-s-half-brother-killed-myanmar-woman-detained-n721096,95442,88,text/html; charset=utf-8
http://www.nbcnews.com/video/trump-tells-netanyahu-to-hold-off-on-settlements-877898819918,323978,140,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/mujews-muslims-jews-band-together-against-hate-n721231,101307,92,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/volunteers-race-save-beached-whales-after-hundreds-stranded-n719301,88560,76,text/html; charset=utf-8
http://www.nbcnews.com/news/world/movement-grows-india-following-reports-mass-sexual-harassment-n703746,99496,102,text/html; charset=utf-8
http://www.nbcnews.com/news/world/wide-spread-anti-trump-protests-take-place-across-mexico-n719996,108136,101,text/html; charset=utf-8
http://www.nbcnews.com/video/pet-snake-gets-stuck-in-woman-s-ear-piercing-hole-868446787991,322208,140,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/church-england-stance-gay-marriage-disarray-after-vote-n721476,81255,82,text/html; charset=utf-8
http://www.nbcnews.com/news/world/mysterious-posters-take-jab-pope-francis-conservative-criticism-intensifies-n716851,98887,87,text/html; charset=utf-8
http://www.nbcnews.com/politics/politics-news/trump-talks-chinese-president-xi-jinping-will-honor-one-china-n719191,104307,94,text/html; charset=utf-8
http://www.nbcnews.com/news/world/pope-francis-tells-politicians-stop-hurling-insults-listen-n722441,84849,79,text/html; charset=utf-8
http://www.nbcnews.com/news/world/knights-malta-head-resigns-spat-pope-over-condom-scandal-n711896,105548,90,text/html; charset=utf-8
http://www.nbcnews.com/news/mexico,115828,121,text/html; charset=utf-8
http://www.nbcnews.com/news/mideast,125305,130,text/html; charset=utf-8
http://www.nbcnews.com/video/happy-valentine-s-day-to-our-latino-familias-876307011882,322213,140,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/pain-ash-cops-find-soot-covered-suspect-stuck-chimney-n715676,82814,80,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/week-pictures-oct-7-14-n666736,95076,79,text/html; charset=utf-8
http://www.nbcnews.com/video/trump-on-meeting-with-mexican-president-we-both-agreed-to-cancel-863446083714,323969,140,text/html; charset=utf-8
http://www.nbcnews.com/news/world/israeli-right-wing-celebrates-trump-end-two-state-solution-n721521,105907,88,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/trump-moves-leave-lgbtq-groups-religious-conservatives-wary-n718811,87356,87,text/html; charset=utf-8
http://www.nbcnews.com/news/north-korea/kim-jong-nam-north-koreans-could-learn-death-loudspeaker-n722286,109040,98,text/html; charset=utf-8
http://www.nbcnews.com/news/world/mattis-warns-arc-instability-europe-s-edge-during-munich-security-n722526,91011,84,text/html; charset=utf-8
http://www.nbcnews.com/news/world/trump-reaches-out-china-s-xi-jinping-letter-n718746,111334,97,text/html; charset=utf-8
http://www.nbcnews.com/storyline/brexit-referendum/u-k-voters-back-brexit-will-leave-european-union-forecasts-n596826,178320,136,text/html; charset=utf-8
http://www.nbcnews.com/storyline/brexit-referendum/amp/if-britain-votes-brexit-will-other-countries-follow-n597536,40157,21,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/david-petraeus-former-cia-director-plead-guilty-mishandling-classified-information-n316411,96900,82,text/html; charset=utf-8
http://www.nbcnews.com/politics/donald-trump/petraeus-kellogg-harward-here-are-possible-flynn-replacements-trump-s-n720571,108903,104,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/justice-department-warned-administration-michael-flynn-could-be-blackmailed-official-n720476,135643,113,text/html; charset=utf-8
http://www.nbcnews.com/politics/politics-news/robert-harward-turns-down-offer-become-president-trump-s-national-n722136,96239,91,text/html; charset=utf-8
http://www.nbcnews.com/business/,311820,286,text/html; charset=utf-8
http://www.nbcnews.com/id/27365695/ns/about/t/get-ready-make-headlines/,18411,16,text/html; charset=utf-8
http://www.nbcnews.com/id/33883759/?q=Viktor%20Yanukovych,109902,101,text/html; charset=utf-8
http://www.nbcnews.com/id/33729107/?q=Viktor%20Yushchenko,107128,97,text/html; charset=utf-8
http://www.nbcnews.com/tech/video-games/amp/super-mario-run-hit-players-scammers-n699126,36281,25,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/obama-rejects-trump-immigration-orders-backs-protests-n714341,107457,97,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/amp/acting-attorney-general-bars-justice-department-defending-immigration-order-n714451,42638,27,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/trump-replaces-acting-director-immigration-enforcement-n714491,85900,86,text/html; charset=utf-8
http://www.nbcnews.com/health/kids-health/amp/parent-led-treatment-helps-kids-autism-researchers-find-n672911,44306,29,text/html; charset=utf-8
http://www.nbcnews.com/id/34198284/ns/health-mental_health/t/early-treatment-may-help-kids-autism/,59803,105,text/html; charset=utf-8
http://www.nbcnews.com/health/kids-health/google-glass-app-helps-kids-autism-see-emotions-n597641,87747,83,text/html; charset=utf-8
http://www.nbcnews.com/health/kids-health/new-survey-finds-1-45-kids-has-autism-n462596,140122,105,text/html; charset=utf-8
http://www.nbcnews.com/health/kids-health/treating-infants-autism-may-eliminate-symptoms-n198671,150488,107,text/html; charset=utf-8
http://www.nbcnews.com/politics/elections/amp/new-liberal-pac-targets-democrats-primaries-n721311,42358,26,text/html; charset=utf-8
http://www.nbcnews.com/news/crime-courts/robert-durst-doing-well-can-be-expected-jail-lawyer-says-n327986,93847,84,text/html; charset=utf-8
http://www.nbcnews.com/storyline/robert-durst/amp/robert-durst-case-missing-student-lynne-schulze-shopped-his-business-n329551,40173,23,text/html; charset=utf-8
http://www.nbcnews.com/nightly-news/video/third-suspect-arrested-in-killing-of-nkorean-dictator-s-half-brother-879134275945?cid=amp_nbcnews,504204,170,text/html; charset=utf-8
http://www.nbcnews.com/video/nbc-news/58542720,11403,11,text/html; charset=utf-8
http://www.nbcnews.com/video/nbc-news/58538071,11363,11,text/html; charset=utf-8
http://www.nbcnews.com/video/nbc-news/58538715,11229,11,text/html; charset=utf-8
http://www.nbcnews.com/id/3036034/ns/world_news-europe/,135489,156,text/html; charset=utf-8
http://www.nbcnews.com/video/nbc-news/58543337,11391,11,text/html; charset=utf-8
http://www.nbcnews.com/storyline/brexit-referendum/amp/here-s-how-brexit-vote-will-affect-price-gas-n600641,37721,21,text/html; charset=utf-8
http://www.nbcnews.com/politics/white-house/amp/flynn-hot-seat-over-discussing-sanctions-russians-n720191,45921,25,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/justice-department-investigate-chicago-police-laquan-mcdonald-death-n475131,107401,90,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/illinois-attorney-general-asks-doj-investigate-chicago-police-n472446,92909,83,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/amp/what-would-jeff-sessions-mean-future-police-reform-attorney-general-n703886,51521,39,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/justice-department-finds-baltimore-police-practices-are-racially-biased-n626906,107968,89,text/html; charset=utf-8
http://www.nbcnews.com/storyline/michael-brown-shooting/u-s-finds-pattern-biased-policing-ferguson-n316586,107702,88,text/html; charset=utf-8
http://www.nbcnews.com/politics/white-house/obama-police-commission-sidesteps-most-controversial-reforms-n315801,97630,84,text/html; charset=utf-8
http://www.nbcnews.com/politics/elections/amp/want-resist-trump-there-s-app-n717756,54148,40,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/law-student-built-framework-trump-resistance-manual-n709166,87849,84,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/amp/official-flynn-discussed-sanctions-russians-taking-office-n719271,44407,27,text/html; charset=utf-8
http://www.nbcnews.com/mach/technology/amp/fertility-fitbit-more-women-choose-have-babies-later-life-n654411,37057,21,text/html; charset=utf-8
http://www.nbcnews.com/business/careers/motherhood-penalty-can-affect-women-who-never-even-have-child-n548511,126733,98,text/html; charset=utf-8
http://www.nbcnews.com/video/gay-conservative-behind-twinks4trump-takes-on-liberal-puritans-755328579598?cid=amp_nbcnews,324441,140,text/html; charset=utf-8
http://www.nbcnews.com/card/how-trump-created-trump-n681171,95857,103,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-election-day/tell-us-why-you-re-voting-2016-election-myvotestory-n674321,167143,225,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-election-day/stocks-close-higher-wall-street-still-tenterhooks-n680301,92160,78,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-election-day/third-party-candidates-having-outsize-impact-election-n680921,111467,86,text/html; charset=utf-8
http://www.nbcnews.com/storyline/2016-election-day/dollar-peso-rate-could-signal-final-election-result-n679911,94050,77,text/html; charset=utf-8
http://www.nbcnews.com/health/health-care/whats-it-cost-have-baby-try-3-000-or-37-n10371,91354,85,text/html; charset=utf-8
http://www.nbcnews.com/health/cancer/amp/breast-cancer-treatment-costs-vary-wildly-study-finds-n663776,44793,27,text/html; charset=utf-8
http://www.nbcnews.com/id/6895896/ns/business-personal_finance/t/medical-bills-make-half-bankruptcies/,75950,134,text/html; charset=utf-8
http://www.nbcnews.com/business/biggest-cause-personal-bankruptcy-medical-bills-6C10442408,78465,79,text/html; charset=utf-8
http://www.nbcnews.com/politics/politics-news/some-republicans-criticize-trump-s-immigration-order-n713826,116460,100,text/html; charset=utf-8
http://www.nbcnews.com/politics/white-house/still-vacant-appointments-threaten-implementation-trump-agenda-n713401,105144,88,text/html; charset=utf-8
http://www.nbcnews.com/politics/white-house/trump-voters-shrug-global-uproar-over-immigration-ban-n714011,130219,103,text/html; charset=utf-8
http://www.nbcnews.com/politics/first-read/amp/first-read-s-morning-clips-confusion-angst-wave-protests-n714081,39143,35,text/html; charset=utf-8
http://www.nbcnews.com/video/the-terminator-and-the-pope-team-up-against-climate-change-863441475809,323257,140,text/html; charset=utf-8
http://www.nbcnews.com/news/latino/polls-show-most-latinos-back-strong-environmental-policies-n695926,98647,95,text/html; charset=utf-8
http://www.nbcnews.com/business/energy/how-putin-khamenei-saudi-prince-made-opec-deal-n690751,93844,83,text/html; charset=utf-8
http://www.nbcnews.com/video/police-surround-capitol-hill-after-shooting-on-capitol-hill-653704771518,322095,140,text/html; charset=utf-8
http://www.nbcnews.com/news/world/mohammed-bin-salman-saudi-arabian-prince-pushes-rapid-change-n687536,121701,100,text/html; charset=utf-8
http://www.nbcnews.com/meet-the-press/west-virginia-how-bluest-state-became-reddest-n697491,119420,101,text/html; charset=utf-8
